id,Theme,Enabling condition,Minimal,Key Factor,Question,Definition,Guidance,Follow up question(s),Examples of strategies to address gap in key factor
11,Habilitar,Condiciones ecológicas,Poblaciones fuente ,"11. Semillas nativas, plántulas o poblaciones de origen están fácilmente disponibles","• ¿El área objetivo tiene poblaciones fuente, bancos de propágulos del suelo (como sistemas de raíces subterráneas y bancos de semillas) o fuentes de bajo costo de semillas y plántulas nativas que puedan ser la base para la recuperación del ecosistema? ","El paisaje objetivo tiene fuentes naturales que apoyan la regeneración, como áreas naturales cercanas, rebrote de raíces subterráneas, semillas dispersadas por animales y fácil acceso a semillas y plántulas nativas de bajo costo que apoyan la recuperación del ecosistema.","• Las poblaciones fuente viables o los bancos de propágulos del suelo de plantas nativas son de vital importancia para la restauración pasiva.  
• Este factor clave de éxito se aplica a toda la cadena de suministro de semillas y plántulas nativas, incluida la producción de semillas, la recolección y el procesamiento de semillas y los viveros de plántulas.","• Si la respuesta es “no”, ¿dónde está la brecha (por ejemplo, semillas, recolectores de semillas, viveros, poblaciones fuente, bancos de propágulos del suelo)?","• Establecer leyes que protejan las áreas restantes de vegetación nativa en el área candidato.
• Crear incentivos financieros y programas de desarrollo de capacidades destinados a fortalecer y aumentar el número y la calidad de los viveros de plántulas y las redes de recolectores de semillas.
"
12,Habilitar,Condiciones económicas,Demandas en competencia,12. Gestión de otras actividades que se contraponen a la restauración.,"
• ¿Están disminuyendo las presiones económicas derivadas de la producción agrícola, ganadera, de leña y/o de biocombustibles sobre las tierras degradadas y los ecosistemas naturales en la zona objetivo, y/o existen mecanismos para gestionar las demandas económicas contrapuestas sobre la tierra que impulsan la degradación de la misma?"," 
Las presiones económicas derivadas de la producción agrícola, ganadera, de leña y/o de biocombustibles sobre las tierras degradadas y los ecosistemas naturales en la zona objetivo están disminuyendo y/o se están gestionando activamente mediante políticas, incentivos, planificación del uso de la tierra o mejoras de la productividad, reduciendo así las presiones que impulsan la degradación de la tierra y ""liberando"" oportunidades para la restauración.","• Las presiones sobre el uso del suelo que se contraponen a la restauración pueden provenir de la expansión agrícola, el desarrollo de infraestructuras, el pastoreo de ganado, la extracción de leña y la urbanización.
• Considere si existen mecanismos para gestionar estas demandas que se contraponen a la restauración, como la planificación del uso del suelo, la zonificación, la intensificación agrícola en tierras existentes, las intervenciones en la cadena de suministro, los incentivos para la producción sostenible o las restricciones a la expansión en ecosistemas naturales.
• Este factor clave de éxito es posiblemente uno de los más importantes a la luz de la creciente demanda mundial de tierras para producir cultivos, ganado y biocombustibles (Searchinger et al. 2013)
• Este factor clave no se aplicaría cuando la tierra se restaura a sistemas agroforestales o silvopastoriles, que continúan produciendo cosechas y ganado, respectivamente.",• ¿Cuáles son los principales usos alternativos de la tierra en competencia para las áreas candidatas a ser restauradas?,"• Aplicar medidas técnicas y financieras para aumentar la productividad (rendimientos por hectárea) de los cultivos y el ganado en las tierras agrícolas no marginales existentes.
• Implementar medidas técnicas y financieras para aumentar el suministro de madera y productos agrícolas y de energía renovable no derivada de biomasa procedente de paisajes restaurados.
• Evitar establecer objetivos de bioenergía que puedan dar lugar a que tierras degradadas o antiguas tierras forestales se conviertan en plantaciones de biomasa.
• ¿Las medidas financieras incluyen incentivos políticos? Una estrategia clave para abordar esta presión económica es redirigir los incentivos hacia actividades de uso de la tierra nocivas y hacia prácticas agrícolas regenerativas. 
• Utilise evaluaciones de los flujos de financiación pública hacia sectores clave, como la agricultura o la silvicultura, para identificar dónde pueden estar produciéndose impactos no deseados y perjudiciales para el medio ambiente. Los flujos de financiación pueden incluir subvenciones o incentivos, entre otros."
13,Habilitar,Condiciones económicas,Cadenas de valor,"13. Existen cadenas de valor y/o mercados para productos básicos (madera, productos agrícolas) y productos ambientales (carbono, agua, biodiversidad) de áreas restauradas.","• ¿Existen cadenas de valor, derechos sobre la tierra y políticas que permitan que los productos o servicios procedentes de tierras restauradas lleguen a los consumidores finales?  ","En la medida en que la restauración forestal en el paisaje objetivo genere productos y servicios comercializables, se establecerán cadenas de valor que permitirán que estos productos lleguen desde el bosque restaurado hasta el consumidor final.","• Este factor clave de éxito se refiere tanto al acceso al mercado como a la demanda del mercado de productos y servicios derivados de paisajes forestales restaurados. Una “cadena de valor” describe los múltiples pasos involucrados en la oferta de un producto o servicio, como la cosecha, la recolección, el procesamiento, el transporte y la distribución. Una cadena de valor derivada de la restauración sugiere que los individuos o grupos en el área objetivo pueden obtener medios de vida y actividades económicas locales como parte de la restauración de los ecosistemas.
Además, las cadenas de valor de los productos ambientales incluyen la generación/suministro del servicio, la emisión de créditos de carbono o de naturaleza, la compra de créditos, etc. 
• Considerar si existen iniciativas, cooperativas o empresas en las áreas objetivo que vendan productos o servicios como resultado de las actividades de restauración. ¿Pueden los productores de estos lugares diferenciar sus productos y servicios a través de etiquetas, certificaciones o acceso a mercados preferenciales? ¿Existe infraestructura para procesar y agregar los productos y servicios ofrecidos desde los ecosistemas?
¿Existen promotores o desarrolladores de proyectos que apoyen la generación de créditos de carbono o de naturaleza? ¿Qué políticas que faciliten los mercados de carbono y naturaleza están en vigor?
• Los servicios de los ecosistemas restaurados podrían incluir la recreación, el turismo y el suministro de agua.","• Si la respuesta es “no”, ¿dónde están las brechas en esa cadena de valor?
• Si la respuesta es “si”,¿cuál es la cadena de valor, incluidos los productores, intermediarios, consumidores finales, etc.?","• Fomentar el crecimiento de los mercados (tanto de oferta como de demanda) de productos básicos (madera, productos agrícolas) y productos ambientales (carbono, agua, biodiversidad) derivados de paisajes restaurados.
• Proporcionar financiamiento a bajo interés para las empresas directamente involucradas en la “cadena de valor de la restauración”.
"
14,Habilitar,Condiciones de las políticas,Tenencia de Terrenos ,"14. Los usuarios de tierras, los propietarios de tierras o las comunidades tienen derechos de tenencia seguros sobre la tierra y los recursos naturales de la tierra. ","• ¿Quienes gestionan el área objetivo tienen derechos claros y seguros para utilizar la tierra, cosechar productos de forma sostenible y recibir los beneficios financieros que se derivarían de la restauración? ¿Estos derechos son accesibles a todas las partes interesadas, incluidas las mujeres y los grupos vulnerables? ","Las personas y comunidades que gestionan el área objetivo tienen derechos claros y seguros (por ejemplo, en forma de propiedad de la tierra o derechos de gestión de recursos naturales) sobre los beneficios que se derivarían de la restauración.","• La falta (o inseguridad) de tenencia de la tierra y de derechos sobre los recursos naturales en el área objetivo puede desalentar la restauración que implica intervención humana.  La gente no invertirá en plantar árboles y vegetación autóctona ni permitirá la regeneración natural en las tierras que gestiona si no es probable que se beneficie del estado restaurado.
• Los derechos de tenencia y sobre los recursos naturales pueden adoptar la forma de propiedad privada de la tierra, tierras comunales, acuerdos consuetudinarios, certificados de derechos de uso, etc.
• Considere también si la tenencia vigente se superpone o entra en conflicto con los derechos consuetudinarios.","• Si la respuesta es “no”, ¿qué derechos faltan y para quiénes?","• Reformar las políticas para garantizar que los administradores de tierras tengan derechos claros y seguros sobre la tierra y los recursos naturales (por ejemplo, los árboles) en sus tierras."
15,Habilitar,Condiciones de las políticas,Políticas,15. Se armonizan y racionalizan las políticas que afectan a la restauración,"• ¿Las políticas que podrían tener un impacto en la restauración del área objetivo están alineadas y optimizadas en un contexto global, nacional, subnacional y local?","Las políticas públicas pertinentes están alineadas, son coherentes y optimizadas para apoyar eficazmente los esfuerzos de restauración en el área objetivo. Estas políticas se refuerzan mutuamente, minimizan las barreras administrativas innecesarias y crean un entorno propicio para su aplicación. Las políticas que promueven la igualdad de género y la inclusión social también se consideran esenciales para apoyar unos resultados de restauración inclusivos y sostenibles.","• Las políticas nacionales sobre clima, biodiversidad y degradación de la tierra probablemente tendrán puntos de superposición para la restauración que pueden considerarse a través de los comités nacionales existentes.
• Otras políticas a considerar incluyen aquellas sobre agricultura, industrias extractivas, agua, planificación del uso de la tierra, infraestructura y recursos naturales.
• En algunos casos, las políticas de conservación de la naturaleza u otros sectores pueden inhibir la restauración (por ejemplo, leyes que prohíben la extracción de semillas nativas de áreas protegidas, leyes que prohíben la cosecha de especies de árboles nativos, subsidios que incentivan los factores de degradación).","• Si la respuesta es “no”, ¿cuáles políticas no están alineadas o simplificadas?","• Realizar una evaluación para identificar las políticas existentes que podrían incidir en la eficacia y eficiencia de la restauración del ecosistema, determinar si cada una de ellas se apoya mutuamente y recomendar reformas de políticas para lograr una mayor alineación."
16,Habilitar,Condiciones de las políticas,Existen restricciones de compensación,"16. Existen restricciones a la tala, degradación o perturbación de los ecosistemas naturales restantes (bosques, pastizales, humedales).",• ¿El área objetivo tiene leyes que restringen la tala o desmonte de los ecosistemas naturales restantes?,El área objetivo tiene leyes que restringen la limpieza o tala de los ecosistemas naturales restantes.,"• Las restricciones a la tala de los bosques y ecosistemas naturales restantes pueden impedir una mayor expansión de áreas degradadas o taladas. Estas restricciones también crean un incentivo para restaurar la productividad de áreas ya taladas, ya que se reducen las oportunidades de utilizar la frontera forestal.
• Las restricciones también pueden adoptar la forma de una extensa red de parques nacionales y bosques nacionales, una extensa red de territorios indígenas forestados, normas de protección de ecosistemas en tierras comunales, normas de “cero pérdidas netas”, porcentajes específicos de tierra que se requiere que permanezca como bosque (por ejemplo, el Código Forestal de Brasil) y más.
• Un componente importante de este factor clave de éxito es que los “bosques y ecosistemas naturales” hayan sido claramente definidos por la jurisdicción que patrocina la restricción (por ejemplo, el gobierno nacional).  Esta definición debe incluir los bosques primarios, los bosques secundarios y los bosques degradados y otros ecosistemas con potencial de restauración. 
Nota: Los posibles efectos de desplazamiento o fugas (por ejemplo, el desplazamiento de la limpieza a otras áreas) se abordan en una sección aparte de esta evaluación y deben considerarse junto con esta pregunta.","• Si es así, ¿cuáles son esas leyes?","• Establecer leyes que restrinjan la tala o el desmonte de los ecosistemas naturales restantes. Establecer, fortalecer y hacer cumplir marcos legales y regulatorios que restrinjan la tala, el desmonte o la conversión de los ecosistemas naturales restantes, asegurando la protección a largo plazo de los hábitats críticos y las funciones ecológicas."
17,Habilitar,Condiciones de las políticas,Se aplican restricciones de limpieza,"17. Se aplican restricciones a la tala de los ecosistemas naturales restantes (por ejemplo, bosques, pastizales, humedales).",• ¿Se aplican adecuadamente estas restricciones de limpieza o tala?,Las leyes que restringen la tala de los ecosistemas naturales restantes se aplican adecuadamente.,"• No basta con que existan regulaciones que restrinjan la tala de los ecosistemas naturales restantes; es necesario que las autoridades pertinentes hagan cumplir las restricciones.
• Particularmente en áreas remotas, la aplicación de la ley depende de la capacidad de las organizaciones encargadas de hacer cumplir la ley y de los incentivos que tienen para ejercer actividades de aplicación de la ley.","• Si la respuesta es ""no"", ¿por qué no?","• Realizar campañas de comunicación para concientizar a los actores relevantes sobre la ley. 
• Establecer un sistema de monitoreo del cambio de cobertura forestal para identificar la tala ilegal.
• Adoptar medidas coercitivas (por ejemplo, multas, denegación de acceso al crédito) contra las infracciones de la ley.
• Garantizar que los recursos humanos y financieros para la aplicación de la ley sean adecuados.
"
18,Habilitar,Condiciones sociales y culturales,"Mujeres, jóvenes, pueblos indígenas","18. Las mujeres, los jóvenes y los pueblos indígenas participan en la toma de decisiones sobre restauración","• ¿Las mujeres, los jóvenes y los pueblos indígenas que viven en el área objetivo y sus alrededores, junto con los sistemas culturales, las estructuras de gobernanza tradicionales y los sistemas de conocimiento que representan, participan de manera significativa en la toma de decisiones sobre restauración (por ejemplo, diseño de programas, establecimiento de objetivos, gestión, seguimiento y selección de indicadores)?","Se reconoce y apoya explícitamente a las mujeres, los jóvenes y los pueblos indígenas como participantes clave en la planificación y ejecución de la restauración a todas las escalas. Sus sistemas culturales, estructuras de gobernanza tradicionales y conocimientos se respetan e integran en los órganos decisorios, los acuerdos de gobernanza y los procesos de supervisión, garantizando resultados de restauración inclusivos, representativos y culturalmente apropiados.","• La toma de decisiones relacionadas con áreas (incluida la planificación, el diseño, la gestión y el seguimiento) debe ser inclusiva y culturalmente apropiada. Cuando la participación es limitada o extractiva, los esfuerzos de restauración corren el riesgo de fragmentación, debilitamiento de la apropiación local y distribución desigual de los beneficios, especialmente para las mujeres, los jóvenes y los pueblos indígenas.
• Aprovechar y fortalecer las instituciones locales existentes y los procesos culturalmente arraigados (por ejemplo, cooperativas forestales a nivel de aldeas, grupos de mujeres, organizaciones de pueblos indígenas, asociaciones de jóvenes y sistemas de gobernanza tradicional) pueden respaldar los acuerdos de cogestión, mejorar la participación local y aumentar la adopción a largo plazo de iniciativas de restauración.
• La planificación e implementación de la restauración deben reconocer y respetar los sistemas culturales en general (incluidos los valores, conocimientos y prácticas de diversos grupos de partes interesadas) e integrar estas perspectivas en los procesos de toma de decisiones, gestión y monitoreo.
• Una participación eficaz e inclusiva requiere transparencia y rendición de cuentas en la toma de decisiones, respeto por el consentimiento libre, previo e informado (CLPI) cuando corresponda, y mecanismos de quejas y retroalimentación accesibles y confiables que permitan a las partes interesadas plantear sus inquietudes y posibilitar la corrección del curso cuando los procesos o resultados fallan.","• Si la respuesta es ""no"", ¿qué grupos no están bien representados? 
• Si la respuesta es ""no"", ¿de qué aspectos de la restauración quedan excluidos los grupos vulnerables? 
","• Involucrar a representantes de las personas que viven en el área objetivo y sus alrededores en el proceso de restauración (por ejemplo, establecimiento de objetivos, diseño, implementación, monitoreo y selección de indicadores) y en los mecanismos de gobernanza (por ejemplo, grupos de múltiples partes interesadas).
• Cultivar defensores de la restauración en las comunidades locales realizando esfuerzos de desarrollo de capacidades o desarrollando estructuras financieras que prioricen proyectos de restauración liderados por la comunidad.  
• Adoptar medidas inclusivas (por ejemplo, métodos de facilitación interculturales o adaptables, convocatorias abiertas, talleres en idiomas locales) para convocar y reflejar las diversas perspectivas de todas las personas en el paisaje.
• Utilizar datos desglosados por sexo al medir la participación, los beneficios y otros resultados de la restauración."
19,Habilitar,Condiciones sociales y culturales,La población local se beneficia,19. La población local se beneficia de la restauración,"• ¿Las personas que viven en el área objetivo y sus alrededores pueden capturar o disfrutar los beneficios generados por la restauración, como mejores medios de vida o servicios ecosistémicos?","Las comunidades que viven en las zonas objetivo o en sus alrededores ven atendidas sus necesidades gracias a los esfuerzos de restauración y reciben beneficios medioambientales (por ejemplo, mejora de la calidad del agua, aumento del suministro de productos forestales) o económicos (por ejemplo, fuentes de ingresos alternativas, mejora de los medios de subsistencia) gracias a la restauración.","• La documentación de planificación y el diseño técnico de cualquier iniciativa de restauración deben incluir marcos y mecanismos para garantizar que las personas que viven en las áreas restauradas o adyacentes a ellas sean los principales beneficiarios de los resultados positivos de la restauración. Aquí encontrará ejemplos de los beneficios que puede reportar la restauración. 
• Los planificadores o implementadores de restauraciones deben preguntarse continuamente: Entre los beneficios sociales, culturales, políticos, medioambientales y económicos identificados, ¿especifican los planes de restauración qué personas o grupos locales se espera que se beneficien de las actividades de restauración? ¿Se corresponden estos beneficios con las necesidades locales? ¿Los beneficios que recibe la población local son razonables, equitativos y confiables?
• Si la población local no percibe los beneficios, tendrá pocos incentivos para cambiar sus comportamientos a fin de posibilitar la restauración o sostener el paisaje restaurado a largo plazo.  ","• Si la respuesta es “no”, ¿qué barreras o limitaciones impiden que las comunidades locales accedan a los beneficios de la restauración?","• Garantizar que los flujos financieros para los bienes y/o servicios generados por el paisaje restaurado (por ejemplo, pagos por servicios ecosistémicos) lleguen a las personas que viven en el área restaurado y sus alrededores.
• Desarrollar estructuras financieras, como bonos o esquemas de financiación basados en resultados, que recompensen a las comunidades locales por restaurar su medio ambiente. 
• Crear sistemas de monitoreo participativo que permitan a las comunidades locales informar sobre los beneficios de la restauración en el corto y largo plazo e informar sobre futuros cambios o ajustes de diseño.
• Permitir que la gente local coseche algunos de los productos forestales del ecosistema restaurado.
"
20,Habilitar,Condiciones institucionales,Roles y responsabilidades,20. Los roles y responsabilidades para la restauración están claramente definidos,"¿Están claramente definidos los roles y responsabilidades para la restauración del ecosistema en el área objetivo, son comprendidos por los actores relevantes y acompañados por la autoridad y, cuando es necesario, existen mecanismos de resolución de conflictos?","Los roles y responsabilidades para la restauración en el área objetivo están claramente definidos, son comprendidos entre los actores relevantes (por ejemplo, el gobierno, la sociedad civil, el sector privado y otras partes interesadas pertinentes) y están acompañados por la autoridad. Y existen y se aplican mecanismos de resolución de conflictos","• Considere si existen agencias, instituciones o grupos designados con el poder de implementar la restauración del ecosistema.
• En ausencia de claridad sobre los roles y responsabilidades, puede producirse inacción debido a que no se cubren roles importantes, a incertidumbre sobre quién hace qué o a que instituciones y grupos reclaman responsabilidades y derechos superpuestos.  
• Para responder adecuadamente a esta pregunta, los usuarios tal vez necesiten trazar un mapa de los mandatos existentes para la planificación, coordinación, implementación y monitoreo de la restauración entre entidades públicas, grupos y organizaciones privadas, propietarios de tierras, usuarios de tierras y otras partes interesadas clave. Los roles, responsabilidades y derechos también pueden definirse en leyes, políticas o prácticas consuetudinarias. 
• Los mecanismos de resolución de conflictos para la restauración de ecosistemas son sistemas estructurados y colaborativos diseñados para gestionar disputas entre las partes interesadas con respecto a la gestión, el acceso y el uso de los recursos naturales u otras actividades durante los proyectos de restauración.","• Si la respuesta es “no”, ¿qué falta en términos de claridad de roles y responsabilidades?","• Crear una plataforma o comité de restauración de ecosistemas a nivel nacional, estatal, local o de cuenca hidrográfica que articule los roles y responsabilidades entre las entidades gubernamentales, de la sociedad civil, académicas y del sector privado y otras partes interesadas relevantes."
21,Habilitar,Condiciones institucionales,Coordinación institucional,21. Se mantiene una coordinación institucional eficaz,"¿Se coordinan eficazmente las partes interesadas pertinentes del gobierno, la sociedad civil y el sector privado -por ejemplo, a través de un grupo de trabajo o un proceso multilateral- para diseñar, aplicar y supervisar la restauración del ecosistema en el área candidata, garantizando al mismo tiempo que estos esfuerzos incluyan a los grupos vulnerables?","Los actores relevantes del gobierno, la sociedad civil y/o el sector privado están suficientemente coordinados para diseñar, implementar y supervisar la restauración en el área objetivo.","• Considere si las instituciones públicas y privadas se han comprometido a establecer un liderazgo y mandatos claros para la restauración. ¿Existe una acción conjunta demostrada en forma de mecanismos de coordinación, comités, grupos de trabajo o alianzas que se reúnan periódicamente y tomen decisiones sobre la restauración? ¿Estos esfuerzos de coordinación incluyen planes, datos, aportes técnicos y seguimiento compartidos, especialmente entre los niveles de gobernanza local, regional y nacional?","• Si la respuesta es “no”, ¿qué falta en términos de coordinación?","• Dentro del gobierno, crear un Grupo de Trabajo interministerial sobre Restauración de Ecosistemas encargado de coordinar las actividades gubernamentales (nacional, estatal y municipal) en materia de restauración.
• Crear una iniciativa de restauración con múltiples partes interesadas que establezca la visión y coordine las actividades de restauración en todo el paisaje (por ejemplo, el PACT del Bosque Atlántico de Brasil).
"
22,Implementar,Liderazgo,Campeones de la restauración,22. Existen lideres nacionales  y/o locales de restauración,"• ¿Existe un líder o lideresa carismático/a y comprometido/a de la restauración para el área objetivo? ¿Representan a todas las partes interesadas de la sociedad, incluidas las mujeres, los jóvenes y los pueblos indígenas? ","Existen personas carismáticas (o instituciones poderosas) que pueden inspirar eficazmente a los responsables de la toma de decisiones para perseguir la restauración, movilizar apoyos y mantener el impulso a lo largo del tiempo en el área candidata","• Los lideres locales de la restauración pueden ser personas o grupos comprometidos con la restauración del área y capaces de actuar en consecuencia. En algunos paisajes o ecosistemas, puede ser necesario resaltar a los lideres de restauracion y darles un perfil visible.
• Históricamente, los ejemplos exitosos de restauración contaron con un promotor o un fuerte apoyo gubernamental. Pocos carecían de ambos.",• ¿Quién es el lider local de la restauración(es)?,"• Cultivar, apoyar y dar voz a los posibles lideres locales de la restauración (individuos, organizaciones).
• Convocar reuniones de lideres locales de la restauración de múltiples ubicaciones (incluso afuera del área candidata) para que se inspiren mutuamente y compartan las mejores prácticas. 
"
23,Implementar,Liderazgo,Compromisos políticos,23. Existe un compromiso político sostenido,"• ¿Existe un compromiso claro y sostenido a largo plazo por parte de las instituciones gubernamentales y no gubernamentales para apoyar los esfuerzos de restauración en el área objetivo, incluidos los presupuestos asignados?","El compromiso de las autoridades gubernamentales (en los niveles pertinentes, cuando corresponda) y de las instituciones no gubernamentales con la restauración en el área objetivo está claramente establecido y reconocido como un compromiso sostenido y de largo plazo y con un presupuesto asignado. ","• Puede ser difícil predecir el compromiso a largo plazo de un gobierno u organización.  En tales situaciones, hay que considerar si el compromiso trasciende a los partidos políticos y si la restauración producirá beneficios recurrentes para las principales partes interesadas.
• Los objetivos de restauración del gobierno podrían ser apoyados con fondos públicos específicos. A la hora de revisar, compruebe si los objetivos llevan aparejado un presupuesto o mecanismo de financiación claro, que indique una demanda real y sostenida, o si existe un plan de financiación. ","• En caso afirmativo, ¿cuál es la prueba del compromiso expreso y de quién?","• Crear y movilizar un electorado amplio (que represente a múltiples sectores, incluida la agricultura) que mantenga la restauración en la agenda política nacional."
24,Implementar,Conocimiento,"El ""saber hacer"" de la restauración existe","24. Existen ""conocimientos técnicos"" de restauración pertinentes para el área candidata","• ¿Existe conocimiento local diverso (incluido el conocimiento indígena, el conocimiento ecológico tradicional y el conocimiento con perspectiva de género) sobre cómo implementar la restauración a escala en el área objetivo?","Los expertos locales conocen las técnicas de restauración (por ejemplo, regeneración natural y asistida, conocimientos tradicionales) adaptadas al área candidata, o generan investigaciones al respecto.","• La experiencia local puede provenir del conocimiento tradicional de las comunidades que viven en el paisaje o sus alrededores, de expertos de universidades y servicios de extensión rural, y de organizaciones no gubernamentales activas en ese campo.
• El conocimiento puede generarse localmente o importarse de otro lugar, pero debe ser comunicado o impartido por profesionales locales. Se puede obtener orientación sobre “mejores prácticas” en materia de restauración de parte de universidades, organizaciones no gubernamentales o agencias de extensión, así como también de individuos o grupos locales con experiencia en restauración a largo plazo.","• Si la respuesta es “no”, ¿cuáles son las lagunas de conocimiento más importantes?","• Crear programas de restauración de ecosistemas en universidades y escuelas de agricultura.
• Priorizar la restauración de ecosistemas en los programas públicos y privados de subvenciones para investigación.
• Construir puentes entre investigadores y profesionales de la restauración para que los primeros generen investigaciones prácticas que se apliquen en el paisaje.
"
25,Implementar,Conocimiento,Transferencia de conocimientos,"25. El ""saber hacer"" de la restauración se transfiere a través de homólogos o servicios de extensión","• ¿Existen servicios de extensión, visitas de agricultor a agricultor, grupos de mujeres, redes locales y/u otros medios de concientización y desarrollo de capacidades para la restauración, y cuentan con los recursos adecuados en el área objetivo o a nivel nacional?","Se cuenta con asistencia técnica y extensión rural (“servicios de extensión”), visitas de agricultor a agricultor, grupos de mujeres, redes locales y/u otros medios de concientización y desarrollo de capacidades para la restauración, y se cuenta con los recursos adecuados en el área candidata.","• El intercambio de conocimientos puede documentarse en servicios de extensión formales, como visitas de campo, programas de capacitación, escuelas de campo, materiales impresos y sitios de demostración.
• Considerar si los grupos de aprendizaje informales sobre restauración están compartiendo información o coordinando actividades, incluidos grupos de mujeres, asociaciones de productores o intercambio de conocimientos entre pueblos indígenas. Esta comunicación de ""agricultor a agricultor"" o de ""gestor de tierras a gestor de tierras"" puede ser uno de los medios más eficaces de educación y formación. 
• Las redes o asociaciones locales para el desarrollo de capacidades en materia de restauración de ecosistemas, agroforestería o reforestación pueden ser mencionadas en documentos o informes nacionales de organizaciones no gubernamentales.","• Para el panorama candidato, ¿qué entidades están mejor posicionadas para prestar servicios de extensión?","• Facilitar reuniones entre agricultores y la interacción en materia de restauración.
• Establecer indicadores clave de desempeño relacionados con la restauración de ecosistemas para los agentes de extensión.
• Aumentar la financiación para la capacitación en restauración de ecosistemas dentro de los servicios de extensión.
• Incluir asistencia técnica para la restauración como parte de los paquetes de financiamiento agrícola para los agricultores.
• Utilizar tecnologías modernas de información y comunicación para conectar mejor a los agentes de extensión y a los administradores de tierras, y para proporcionar a ambos la investigación y la información más actualizadas."
26,Implementar,Diseño técnico,Diseño Resiliente ,26. El diseño de la restauración tiene una base técnica y adaptada al cambio climático,"• ¿El plan de restauración del área objetivo se basa en las mejores prácticas, incorporando la mejor ciencia disponible, el conocimiento ecológico tradicional y enfoques resilientes al clima?","El plan de restauración se basa en las mejores prácticas de diseño, ejecución y mantenimiento de las actividades de restauración. El plan de restauración del paisaje incorpora la mejor ciencia disponible y enfoques resilientes al clima que garantizan que la intervención, incluidos aspectos como la selección de especies y las técnicas de restauración, sea apropiada para el contexto local y los objetivos de la intervención, y reduzca la vulnerabilidad de la intervención de restauración a los impactos climáticos como sequías, inundaciones, incendios forestales y temperaturas extremas. ","• Considerar si los enfoques para la restauración de los ecosistemas están respaldados por la investigación científica, el conocimiento local o las prácticas indígenas para recuperar los ecosistemas naturales y reducir la vulnerabilidad a los impactos climáticos.  
• El diseño técnico debe abordar aspectos tales como la preparación del sitio, la pendiente, la selección de especies, el espaciamiento de los árboles y el mantenimiento, o cómo eliminar las presiones que impiden que la vegetación natural vuelva a crecer (por ejemplo, el ganado, los incendios).  
• Los planes de restauración deben tener en cuenta los impactos climáticos proyectados para ser resilientes al clima.","• Si la respuesta es “no”, ¿qué falta en el plan?","• Desarrollar un plan de restauración basado en la mejor ciencia y teniendo en cuenta el cambio climático.
• Revisar los planes de restauración de experiencias de restauración exitosas en otros lugares para obtener conocimientos sobre las mejores prácticas.
"
27,Implementar,Diseño técnico,"Limita las ""fugas","27. La restauración limita las ""fugas""","• ¿El proceso de restauración cuenta con disposiciones establecidas (por ejemplo, políticas, prácticas, incentivos, mejoras de rendimiento) que limiten las fugas o se está desarrollando de una manera que las reduce? ¿Las actividades de restauración evitan el desplazamiento de los usuarios de la tierra a otras zonas en las que no tienen más opción que transformar/limpiar ecosistemas naturales para usos agrícolas de la tierra?","La restauración de los ecosistemas en el área candidata evita la transferencia de las actividades de desmonte a otros lugares (""fugas""), lo que se traduce en un aumento neto de la superficie restaurada.","• Existe el riesgo de que la restauración del ecosistema en el área objetivo pueda resultar en el desplazamiento de las actividades que estaban causando la degradación de la tierra a algún otro paisaje.
• Si bien dicha “fuga” podría resultar en un aumento de la cantidad de área restaurada en el paisaje objetivo, también resultaría en un aumento de tierras degradadas o deforestadas en otros lugares.  
• Las formas de limitar las fugas de las actividades de restauración podrían incluir: Combinar la restauración con usos productivos (por ejemplo, agroforestería), brindar alternativas de sustento locales que no requieran convertir tierras en tierras agrícolas, aumentar la eficiencia agrícola para que la producción no se traslade a nuevas áreas, planificar la restauración a nivel del paisaje para gestionar dónde cambian las actividades y abordar los factores subyacentes de la degradación. 
• Para obtener más información sobre la reforestación en un país que desplaza la deforestación a otro país, consulte: Meyfroidt y Lambin (2011).","• Si la respuesta es “no”, ¿qué medidas faltan en el proceso de restauración para evitar el desplazamiento de la degradación de la tierra a otras áreas?","• Introducir medidas que aumenten la productividad por hectárea de cultivos, ganado o madera de las tierras agrícolas y forestales existentes.
• Introducir medidas que reduzcan la demanda de cultivos, ganado o madera.

"
